id,player_name,goals,assists,goals_assists
1,Mohamed Salah,7,5,12
2,Darwin Núñez,5,1,6
3,Roberto Firmino,4,2,6
4,Harvey Elliott,2,2,4
5,Andrew Robertson,0,2,2
6,Kostas Tsimikas,0,2,2
7,Joe Gomez,0,1,1
8,Jordan Henderson,0,1,1
9,Thiago Alcántara,0,0,0
10,Luis Díaz,1,0,1
11,Diogo Jota,0,4,4
12,Ibrahima Konaté,0,0,0
13,James Milner,0,0,0
14,Joël Matip,1,0,1
15,Cody Gakpo,0,0,0
16,Fabio Carvalho,0,0,0
17,Stefan Bajcetic,0,0,0
18,Curtis Jones,0,0,0
19,Alex Oxlade-Chamberlain,0,0,0
20,Arthur Melo,0,0,0
21,Calvin Ramsay,0,0,0
