fixture_id,venue_name,league_name,home_goals,away_goals,halftime_home_goals,halftime_away_goals,fulltime_home_goals,fulltime_away_goals,year
862929,King Power Stadium,Community Shield,3,1,1,0,3,1,2022
867947,Craven Cottage,Premier League,2,2,1,0,2,2,2022
867961,Anfield,Premier League,1,1,0,1,1,1,2022
867972,Old Trafford,Premier League,2,1,1,0,2,1,2022
867981,Anfield,Premier League,9,0,5,0,9,0,2022
867994,Anfield,Premier League,2,1,0,1,2,1,2022
868000,Goodison Park,Premier League,0,0,0,0,0,0,2022
868012,Anfield,Premier League,2,0,0,0,2,0,2023
868019,Stamford Bridge,Premier League,0,0,0,0,0,0,2023
868032,Anfield,Premier League,3,3,1,2,3,3,2022
868037,Emirates Stadium,Premier League,3,2,2,1,3,2,2022
868051,Anfield,Premier League,1,0,0,0,1,0,2022
868064,Anfield,Premier League,1,0,1,0,1,0,2022
868071,The City Ground,Premier League,1,0,0,0,1,0,2022
868083,Anfield,Premier League,1,2,1,1,1,2,2022
868093,Tottenham Hotspur Stadium,Premier League,1,2,0,2,1,2,2022
868099,Anfield,Premier League,3,1,3,1,3,1,2022
868107,Villa Park,Premier League,1,3,0,2,1,3,2022
868119,Anfield,Premier League,2,1,2,1,2,1,2022
868128,Gtech Community Stadium,Premier League,3,1,2,0,3,1,2023
868138,The American Express Community Stadium,Premier League,3,0,0,0,3,0,2023
868152,Anfield,Premier League,0,0,0,0,0,0,2023
868165,Molineux Stadium,Premier League,3,0,2,0,3,0,2023
868172,Anfield,Premier League,2,0,1,0,2,0,2023
868182,St. James' Park,Premier League,0,2,0,2,0,2,2023
868187,Selhurst Park,Premier League,0,0,0,0,0,0,2023
868201,Anfield,Premier League,7,0,1,0,7,0,2023
868206,Vitality Stadium,Premier League,1,0,1,0,1,0,2023
868221,Anfield,Premier League,1,0,1,0,1,0,2023
868232,Etihad Stadium,Premier League,4,1,1,1,4,1,2023
868241,Anfield,Premier League,2,2,1,2,2,2,2023
868249,Elland Road,Premier League,1,6,0,2,1,6,2023
868263,Anfield,Premier League,3,2,0,0,3,2,2023
868270,London Stadium,Premier League,1,2,1,1,1,2,2023
868283,Anfield,Premier League,4,3,3,1,4,3,2023
868289,Anfield,Premier League,1,0,1,0,1,0,2023
868303,King Power Stadium,Premier League,0,3,0,2,0,3,2023
868309,Anfield,Premier League,1,1,0,1,1,1,2023
868325,St. Mary's Stadium,Premier League,4,4,2,2,4,4,2023
869514,Rajamangala National Stadium,Friendlies Clubs,4,0,3,0,4,0,2022
869517,The National Stadium,Friendlies Clubs,2,0,1,0,2,0,2022
869532,Red Bull Arena,Friendlies Clubs,0,5,0,1,0,5,2022
869549,Anfield,Friendlies Clubs,0,3,0,3,0,3,2022
889909,Red Bull Arena,Friendlies Clubs,1,0,1,0,1,0,2022
945936,Anfield,League Cup,0,0,0,0,0,0,2022
946859,Stadio Diego Armando Maradona,UEFA Champions League,4,1,3,0,4,1,2022
946867,Anfield,UEFA Champions League,2,1,1,1,2,1,2022
946883,Anfield,UEFA Champions League,2,0,1,0,2,0,2022
946907,Ibrox Stadium,UEFA Champions League,1,7,1,1,1,7,2022
946924,Johan Cruijff Arena,UEFA Champions League,0,3,0,1,0,3,2022
946931,Anfield,UEFA Champions League,2,0,0,0,2,0,2022
971801,Anfield,UEFA Champions League,2,5,2,2,2,5,2023
971802,Estadio Santiago Bernabéu,UEFA Champions League,1,0,0,0,1,0,2023
972362,Etihad Stadium,League Cup,3,2,1,1,3,2,2022
976477,Anfield,FA Cup,2,2,1,1,2,2,2023
976995,Al Maktoum Stadium,Friendlies Clubs,1,3,1,1,1,3,2022
977003,Al Maktoum Stadium,Friendlies Clubs,4,1,2,1,4,1,2022
986119,Molineux Stadium,FA Cup,0,1,0,1,0,1,2023
990835,The American Express Community Stadium,FA Cup,2,1,1,1,2,1,2023
